data,spx_pe,ibov_valuation_idx
2010-11-05,16.232124,
2010-11-08,16.197696,
2010-11-09,16.067267,
2010-11-10,16.137579,
2010-11-11,16.069121,
2010-11-12,15.879369,
2010-11-15,15.860037,
2010-11-16,15.603019,
2010-11-17,15.606329,
2010-11-18,15.846,
2010-11-19,15.886255,
2010-11-22,15.861228,
2010-11-23,15.634666,
2010-11-24,15.867982,
2010-11-26,15.749471,
2010-11-29,15.727754,
2010-11-30,15.632283,
2010-12-01,15.592372,
2010-12-02,15.792243,
2010-12-03,15.833354,
2010-12-06,15.812799,
2010-12-07,15.820944,
2010-12-08,15.879509,
2010-12-09,15.94053,
2010-12-10,16.036199,
2010-12-13,16.036974,
2010-12-14,16.051583,
2010-12-15,15.96936,
2010-12-16,16.068132,
2010-12-17,16.081578,
2010-12-20,16.122559,
2010-12-21,16.21978,
2010-12-22,16.274596,
2010-12-23,16.247835,
2010-12-27,16.25779,
2010-12-28,16.27033,
2010-12-29,16.286749,
2010-12-30,16.262185,
2010-12-31,16.259082,
2011-01-03,16.167154,
2011-01-04,16.145925,
2011-01-05,16.226771,
2011-01-06,16.192322,
2011-01-07,16.162451,
2011-01-10,16.140206,
2011-01-11,16.20033,
2011-01-12,16.346256,
2011-01-13,16.318292,
2011-01-14,16.438795,
2011-01-18,16.461421,
2011-01-19,16.294903,
2011-01-20,16.273802,
2011-01-21,16.31308,
2011-01-24,16.408287,
2011-01-25,16.41261,
2011-01-26,16.481886,
2011-01-27,16.518877,
2011-01-28,16.223973,
2011-01-31,16.34829,
2011-02-01,16.346918,
2011-02-02,16.302413,
2011-02-03,16.340792,
2011-02-04,16.387923,
2011-02-07,16.490187,
2011-02-08,16.559194,
2011-02-09,16.513064,
2011-02-10,16.525441,
2011-02-11,16.616452,
2011-02-14,16.656081,
2011-02-15,16.6022,
2011-02-16,16.706088,
2011-02-17,16.75747,
2011-02-18,16.789724,
2011-02-22,16.445055,
2011-02-23,16.344543,
2011-02-24,16.328291,
2011-02-25,16.500563,
2011-02-28,16.592324,
2011-03-01,16.066043,
2011-03-02,16.091993,
2011-03-03,16.369081,
2011-03-04,16.248309,
2011-03-07,16.112778,
2011-03-08,16.256548,
2011-03-09,16.234412,
2011-03-10,15.928053,
2011-03-11,16.040832,
2011-03-14,15.943796,
2011-03-15,15.765219,
2011-03-16,15.457877,
2011-03-17,15.664985,
2011-03-18,15.732505,
2011-03-21,15.96827,
2011-03-22,15.911573,
2011-03-23,15.957939,
2011-03-24,16.106998,
2011-03-25,16.157915,
2011-03-28,16.113515,
2011-03-29,16.227278,
2011-03-30,16.335752,
2011-03-31,16.305866,
2011-04-01,16.216601,
2011-04-04,16.2222,
2011-04-05,16.219279,
2011-04-06,16.254696,
2011-04-07,16.229989,
2011-04-08,16.164997,
2011-04-11,16.119842,
2011-04-12,15.994483,
2011-04-13,15.997526,
2011-04-14,15.998864,
2011-04-15,16.061666,
2011-04-18,15.884701,
2011-04-19,15.975739,
2011-04-20,16.191651,
2011-04-21,16.27709,
2011-04-25,16.251166,
2011-04-26,16.397095,
2011-04-27,16.499574,
2011-04-28,16.558237,
2011-04-29,16.596332,
2011-05-02,16.396948,
2011-05-03,16.341538,
2011-05-04,16.229511,
2011-05-05,16.082312,
2011-05-06,16.143746,
2011-05-09,16.217105,
2011-05-10,16.348043,
2011-05-11,16.166392,
2011-05-12,16.245533,
2011-05-13,16.114475,
2011-05-16,16.014495,
2011-05-17,16.008592,
2011-05-18,16.149529,
2011-05-19,16.184702,
2011-05-20,16.060269,
2011-05-23,15.868741,
2011-05-24,15.855612,
2011-05-25,15.906083,
2011-05-26,15.968961,
2011-05-27,16.034129,
2011-05-31,16.203975,
2011-06-01,15.673662,
2011-06-02,15.654465,
2011-06-03,15.502087,
2011-06-06,15.335281,
2011-06-07,15.320615,
2011-06-08,15.256469,
2011-06-09,15.369023,
2011-06-10,15.154167,
2011-06-13,15.164301,
2011-06-14,15.35555,
2011-06-15,15.087875,
2011-06-16,15.114344,
2011-06-17,15.160367,
2011-06-20,15.24216,
2011-06-21,15.446763,
2011-06-22,15.346846,
2011-06-23,15.303446,
2011-06-24,15.124001,
2011-06-27,15.262907,
2011-06-28,15.460475,
2011-06-29,15.58853,
2011-06-30,15.746274,
2011-07-01,15.778149,
2011-07-05,15.757067,
2011-07-06,15.772848,
2011-07-07,15.937735,
2011-07-08,15.826791,
2011-07-11,15.540476,
2011-07-12,15.471577,
2011-07-13,15.519629,
2011-07-14,15.415397,
2011-07-15,15.501021,
2011-07-18,15.374999,
2011-07-19,15.625746,
2011-07-20,15.615263,
2011-07-21,15.826791,
2011-07-22,15.841159,
2011-07-25,15.751767,
2011-07-26,15.687107,
2011-07-27,15.368522,
2011-07-28,15.318821,
2011-07-29,15.220007,
2011-08-01,14.974285,
2011-08-02,14.591592,
2011-08-03,14.664779,
2011-08-04,13.963502,
2011-08-05,13.955475,
2011-08-08,13.025559,
2011-08-09,13.64306,
2011-08-10,13.040686,
2011-08-11,13.644339,
2011-08-12,13.716131,
2011-08-15,14.014932,
2011-08-16,13.878447,
2011-08-17,13.891595,
